State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Maharashtra, Mumbai,2007,0,2.3,0,0,0.4,776.6,650.9,646.2,428.7,0,3.9,0,2509.0
Maharashtra, Mumbai,2008,0,0,0.1,0,0.5,768,910.2,498.8,338,15.4,1.6,0.2,2532.8
Maharashtra, Mumbai,2009,0,0,0,0,1.3,241,956.8,247.4,420.8,190.8,105.4,0,2163.5
Maharashtra, Mumbai,2010,0,0,0,0.3,0,947.4,1112.7,860.7,272.9,122.4,55.7,0,3372.1
Maharashtra, Nagpur,2004,49.4,1.5,0.6,19.3,20.6,135.7,256.3,205.5,88.1,7.7,6.8,0,791.5
Maharashtra, Nagpur,2005,98.3,13.3,19.8,11.2,12,190,421.1,178.8,294.9,89.1,0,0.8,1329.3
Maharashtra, Nagpur,2006,0,0,91,25.8,39.2,108.5,344.3,296.1,145.6,7.9,18,0,1076.4
Maharashtra, Nagpur,2007,0,2.4,8,3.5,6.6,251.5,402.1,288.8,220.7,29.3,37.8,0,1250.7
Maharashtra, Nagpur,2008,0,0,18.5,4.6,15.1,198.3,298.6,188.8,100.1,16.8,0,0,840.8
Maharashtra, Nagpur,2009,0,0,9.2,0,20.3,95.4,463.7,183.7,107,50.9,53.2,3.3,986.7
Maharashtra, Nagpur,2010,17,18.8,18.9,0,2,141.2,383.1,396.7,228,24.5,58.8,0.4,1289.4
Maharashtra, Nanded,2004,2.5,0,0.6,1.1,20.3,74.3,208.4,95.7,202.8,46.8,19,0,671.5
Maharashtra, Nanded,2005,20.5,1,16.1,2,0,26.3,391.3,125.8,246,54,0,0,883.0
Maharashtra, Nanded,2006,0,0,0,0,9.5,79.3,149.3,287.1,168.1,52,0,0,745.3
Maharashtra, Nanded,2007,0,0,0,0,0,144.5,94.2,191.2,157,0,0,0,586.9
Maharashtra, Nanded,2008,0,0,N.A.,0,3,85.5,133.5,124.8,148.2,5.5,7.1,0,N.A.
Maharashtra, Nanded,2009,0,0,0,0,11.5,70.3,125.3,132.8,98,56.2,32.3,2.3,528.7
Maharashtra, Nanded,2010,10,21.5,14,1.3,0.3,91.4,312.3,232.4,200.3,77.8,40.7,0,1002
Maharashtra, Nandurbar,2004,0,0,0,0,4.7,124.2,253,571,98.1,42.6,0,0,1093.6
Maharashtra, Nandurbar,2005,0,0,0,0.5,0,357,393.1,211.9,243.5,0.5,0,0,1206.5
Maharashtra, Nandurbar,2006,0,0,0,0,0,164.3,591.2,604.9,191.6,34.3,4.5,0,1590.8
Maharashtra, Nandurbar,2007,0,0,0,0,0,169.3,598,206.7,118.2,0,29.8,0,1122.0
Maharashtra, Nandurbar,2008,0,0,0,0,0,78.9,263.3,345.2,321.3,29.8,0,0,1038.5
Maharashtra, Nandurbar,2009,0,0,0,0,0,27.3,310,152.8,112.5,65,45.3,6.7,719.6
Maharashtra, Nandurbar,2010,0,0,0,0,0,94.3,243.5,225.2,116.7,63.7,78,0,821.4
Maharashtra, Nasik,2004,0,0,0,0,24.1,173.5,240.6,584.1,214.4,85.6,2,0,1324.3
