alarmRaisedTime,alarmName,alarmType
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:55,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:35:56,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:27,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:27,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:27,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:27,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:27,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:27,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:41,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:41,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:41,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:41,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:53,Device Management IP is Unreachable,COMMUNICATIONS ALARM
2018-04-07 15:50:54,Device Management IP is Unreachable,COMMUNICATIONS ALARM
